id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
171546,Great apartment in Copenhagen,818458,Ditte,,Vesterbro-Kongens Enghave,55.67013,12.54954,Entire home/apt,754,5,63,2021-12-22,0.62,1,0,7,
173032,Familierum i Newyorker lejlighed,826011,Kirsten,,Vesterbro-Kongens Enghave,55.66305,12.54577,Private room,2000,7,1,2015-07-20,0.01,3,143,0,
176963,Cosy private room close to center -next to Metro,846204,Vogelkop,,Vesterbro-Kongens Enghave,55.66777,12.54844,Private room,327,1,454,2022-09-07,3.36,5,154,65,
177321,Updated Urban Boho-Chic Apartment,150042,Natashja,,Nrrebro,55.70001,12.54819,Entire home/apt,1295,5,71,2019-09-12,0.52,2,112,0,
186454,Artistic & colourful  apartment.,896083,Cathrine,,Vesterbro-Kongens Enghave,55.67069,12.54836,Private room,466,1,203,2022-09-08,1.50,1,183,15,
194022,Penthouse in central CPH,941790,Morten,,Nrrebro,55.68998,12.56223,Entire home/apt,2302,3,159,2022-09-04,1.18,1,343,21,
198448,Penthouse overlooking the harbor,968571,Stefan,,Indre By,55.68372,12.59324,Entire home/apt,1607,5,114,2022-08-29,0.86,1,318,17,
206861,Lovely spacious apartment with balcony,999404,Sidsel,,Nrrebro,55.69403,12.56543,Entire home/apt,1143,3,60,2022-08-01,0.45,1,9,6,
218854,Cool rooftop apartment by the lakes,168254,Kristina,,Nrrebro,55.68758,12.56053,Entire home/apt,882,4,23,2022-07-13,0.17,1,314,3,
225323,Unique designer flat in city centre,293636,Sophie,,Indre By,55.68298,12.5739,Entire home/apt,930,4,23,2022-09-20,0.18,1,0,3,
240802,Copenhagen big top floor apartment,1263184,Mette,,Nrrebro,55.68868,12.56086,Entire home/apt,2082,2,9,2022-08-13,0.07,1,51,4,
242494,Frederiksberg - Garden & Fireplace!,1162404,Julie,,Frederiksberg,55.67337,12.54143,Entire home/apt,855,5,14,2018-08-22,0.11,2,157,0,
250201,Lovely apartment in Copenhagen,1310948,Tilde,,Vesterbro-Kongens Enghave,55.66792,12.55554,Entire home/apt,755,3,17,2013-06-30,0.13,1,0,0,
258430,Private Room in Copenhagen SV,268171,Rouslan,,Vesterbro-Kongens Enghave,55.64443,12.52773,Private room,250,1,358,2022-09-18,4.78,3,23,49,
262961,192m2 FLAT+ 8m2 BALCONY IN CENTER NØRREBRO HOOD,1379904,Nina,,Nrrebro,55.68867,12.56095,Entire home/apt,1480,5,33,2022-04-19,0.25,2,3,2,
263036,Bright flat in central location,1232471,Anita,,Nrrebro,55.69008,12.54378,Entire home/apt,998,4,22,2022-08-27,0.17,1,46,3,
264220,MY HOME  IN  FANTASTIC COPENHAGEN,1386103,Angelina,,Amager st,55.66135,12.60531,Shared room,2575,2,4,2015-05-29,0.04,6,365,0,
268089,City Room,1405285,Nikolaj Egelund,,Indre By,55.68187,12.56375,Private room,500,2,2,2020-01-21,0.05,1,0,0,
269188,Two floors rooftop apartment in the heart of CPH,1410104,Kenneth,,Vesterbro-Kongens Enghave,55.6675,12.55563,Entire home/apt,1886,1,29,2021-12-17,0.33,2,59,2,
279685,Newyorker apartment in central CPH?,1458132,Pernille,,Vesterbro-Kongens Enghave,55.6706,12.54211,Entire home/apt,1458,6,17,2021-11-07,0.14,1,208,2,
282293,Central and bright studio flat for one guest,732180,Robert,,Frederiksberg,55.681,12.55487,Entire home/apt,595,3,105,2022-09-04,0.82,1,14,12,
300482,Cozy apartment near the center,1517376,Lene,,Amager Vest,55.66624,12.59636,Entire home/apt,1200,3,6,2022-07-24,0.10,2,0,3,
302659,2 rooms close to both city and sea,1558474,Soren,,Amager st,55.66605,12.60833,Entire home/apt,653,2,18,2022-05-01,0.37,1,0,1,
304278,Bright penthouse - great with kids!,1565799,Mikkel,,Nrrebro,55.69243,12.54606,Entire home/apt,850,5,45,2022-08-03,0.35,1,6,5,
312803,Visit wonderful Copenhagen as a lokal,1608326,Karin Munkholm,,Vesterbro-Kongens Enghave,55.67087,12.54283,Entire home/apt,1496,2,54,2022-07-11,0.44,2,37,1,
313003,130m2 scandinavian designed apt. prime location,1606895,Alexandra,,Indre By,55.68409,12.56349,Entire home/apt,4000,2,28,2022-07-15,0.22,1,365,5,
313237,Nice big apartment in Copenhagen,422780,Sanne,,Valby,55.66641,12.50395,Entire home/apt,850,6,62,2020-09-02,0.49,2,107,0,
318437,Friendly SAFE Space in Copenhagen/ Nørrebro,1634152,Ditti,,Nrrebro,55.69268,12.55486,Private room,379,3,63,2019-09-27,0.75,1,0,0,
327286,Room with Royal view in Copenhagen,1145959,Bella,,Indre By,55.68726,12.59275,Private room,652,2,38,2020-03-14,0.30,1,267,0,
330243,Around the corner from city centre,1566365,Oliver,,Indre By,55.67637,12.59843,Entire home/apt,1094,20,22,2021-12-23,0.18,1,89,1,
330915,Lovely room - in the heart of CPH!,799887,Bente,,Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,404,1,711,2022-09-06,5.55,3,31,49,
334127,Cozy living Copenhagen V - Midpoint,1702034,Mette,,Vesterbro-Kongens Enghave,55.67059,12.55651,Entire home/apt,1000,4,118,2022-09-11,0.94,1,0,6,
338928,Art&Design apt in hip Nørrebro - 2BR,113348,Samy,,Nrrebro,55.69388,12.54725,Entire home/apt,793,3,91,2022-09-18,0.73,1,0,11,
338992,Room with a view over the lakes,799887,Bente,,Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,843,1,377,2022-08-19,2.94,3,0,3,
339126,Bright vesterbro design apartment with big balcony,1589153,Michael & Bille Max,,Vesterbro-Kongens Enghave,55.67284,12.54717,Entire home/apt,2314,3,71,2022-09-15,0.57,1,174,21,
339139,"Lux. Room near Airport,Bella C, Metro & Citycenter",1722025,Annette,,Amager Vest,55.63543,12.587,Private room,395,3,134,2022-09-06,1.06,2,303,18,
339321,Bright & airy - central Copenhagen♥,1720468,Hodan,,Nrrebro,55.69091,12.5549,Private room,719,3,29,2013-08-23,0.23,1,0,0,
341822,Top coziness - in the heart of Cph!,1734238,Ma,,Indre By,55.68207,12.57336,Entire home/apt,1487,2,209,2022-09-04,1.62,1,294,11,
343137,Childfriendly penthouse with private terrace,1741097,Josephine,,Frederiksberg,55.67761,12.54673,Entire home/apt,1995,3,28,2022-08-04,0.22,1,276,4,
346877,Stunning apartment in heart of CPH,973643,Lars Flindt,,Indre By,55.6864,12.5797,Entire home/apt,1000,6,3,2017-08-27,0.03,1,0,0,
355841,Beautiful spacious apartment,969340,Thomas & Karina,,Frederiksberg,55.68266,12.53538,Entire home/apt,1800,4,26,2022-08-27,0.23,1,82,7,
356861,Sunny and Stylish - longterm booking discount,1744067,Helene Hvass,,Amager Vest,55.66582,12.59675,Entire home/apt,1095,4,97,2022-09-02,0.76,1,20,14,
360501,Comfortable Bed & Bikes (The Room),150042,Natashja,,Nrrebro,55.70001,12.54819,Private room,650,3,47,2018-12-02,0.37,2,112,0,
362318,In the center of trendy Noerrebro.,1831052,Pernille Hartvig,,Nrrebro,55.68922,12.55646,Entire home/apt,689,4,80,2022-07-12,0.63,1,2,2,
369967,Really cozy apartment with 2 bikes,1857021,Julie,,Frederiksberg,55.68577,12.53804,Entire home/apt,857,4,298,2022-09-10,2.34,1,150,11,
373871,Charming House - 5 km.to CPH Center,1881149,Jacob,,Amager Vest,55.63989,12.6047,Entire home/apt,1200,7,14,2022-07-24,0.11,1,267,3,
391758,Spacious Family Retreat at Nørrebro,1959010,Marius,,Nrrebro,55.69966,12.54517,Entire home/apt,2287,2,83,2022-08-04,0.65,1,176,18,
395154,In the ♥ of Copenhagen habour area,748960,Heidi Borg,,Indre By,55.69816,12.59008,Entire home/apt,1000,10,10,2019-09-03,0.08,1,4,0,
401665,Lovely bright apartment with view,2004938,Birgitte,,sterbro,55.70039,12.58632,Entire home/apt,750,4,46,2022-08-28,0.41,1,314,7,
406081,197m2! Beautiful apartment (family cargobike incl),2023659,Mikael,,sterbro,55.7085747,12.5761092,Entire home/apt,1750,5,1,2022-07-25,0.48,1,85,1,
409625,Small Penthouse with balcony.,2038200,Lars,,Indre By,55.68535,12.56127,Entire home/apt,625,3,74,2021-12-29,0.58,2,23,1,
432409,Copenhagen town house apartment,2150016,Gro,,Indre By,55.68189,12.57498,Entire home/apt,1487,3,21,2022-08-07,0.19,1,78,1,
441719,Spacious flat in flavorful neighbh.,2191358,Olga,,Nrrebro,55.69013,12.55882,Entire home/apt,1450,3,33,2022-07-30,0.27,1,20,10,
441763,Great Family Apartment,2005060,Anders,,Nrrebro,55.69035,12.56202,Entire home/apt,900,3,41,2022-07-24,0.36,1,0,7,
443684,"Penthouse, 4-5 rooms + 5 balconies",2204282,Sidsel,,Nrrebro,55.70238,12.54765,Entire home/apt,2815,1,431,2020-01-19,3.44,1,158,0,
454064,Modern apt. with roof terrace - City apt.,2255979,Renny,,Vesterbro-Kongens Enghave,55.6476,12.548,Entire home/apt,2224,4,57,2022-07-16,0.50,1,345,2,
454605,Fantastic 120 sqm: Best location in Copenhagen,2258629,Morten,,Nrrebro,55.68846,12.56095,Entire home/apt,1500,7,35,2022-09-04,0.39,1,51,9,
455191,Town house in heart of Copenhagen,1784959,Berit,,sterbro,55.71316,12.57226,Entire home/apt,1400,5,21,2022-08-13,0.20,1,258,4,
456207,Spacious charming Apart. In vibrant Nørrebro,1735471,Jeppe,,Bispebjerg,55.70016,12.53694,Entire home/apt,700,4,12,2022-07-30,0.13,1,7,1,
460453,Modern & Creative app. in 2 floors in Copenhagen V,2289329,Katja,,Vesterbro-Kongens Enghave,55.66746,12.55269,Entire home/apt,893,3,23,2022-07-03,0.20,1,0,4,
462293,Grand flat in wonderful Copenhagen,165326,Annemette,,Frederiksberg,55.67545,12.53928,Entire home/apt,3000,90,1,2012-08-04,0.01,1,358,0,
464413,Luxury Center City Apt w. Balcony,2307381,Alexander,,Indre By,55.67581,12.57425,Entire home/apt,1199,1,39,2019-09-09,0.35,1,0,0,
476283,Modern. Central. Harbour view.,2360914,Allan Valentin,,Amager Vest,55.65814,12.567,Entire home/apt,1906,7,27,2018-09-09,0.22,1,0,0,
477800,Beautiful family friendly apartment at Østerbro,2352509,Anders,,sterbro,55.69782,12.58056,Entire home/apt,1130,5,31,2022-07-08,0.25,1,0,1,
480083,COZY flat centrally LOCATED in Cph.,2377798,Linni Rita,,Nrrebro,55.68926,12.54708,Entire home/apt,900,3,20,2022-08-03,0.18,1,97,6,
485211,Charming house in Copenhagen,2390256,Ole Emmik,,Valby,55.66503,12.50346,Entire home/apt,1115,5,33,2021-10-24,0.27,1,53,1,
487549,"Charming Apartment Vesterbro, Copenhagen",2412622,Maj,,Vesterbro-Kongens Enghave,55.67029,12.54127,Entire home/apt,1200,5,5,2022-08-10,0.93,1,83,5,
489563,Central apartment at top floor,167123,Morten B.,,Amager Vest,55.66729,12.59737,Entire home/apt,986,3,151,2022-09-17,1.20,1,316,21,
489653,Cosy apt in vibrant neighborhood,2399319,Thomas,,Nrrebro,55.69103,12.54436,Entire home/apt,1036,3,14,2022-07-29,0.11,1,5,3,
495934,Fantastic villa in wonderful CPH,2449236,Morten Sønderby,,Valby,55.66613,12.49663,Entire home/apt,3011,6,32,2022-08-29,0.33,2,60,2,
503631,Apartment in the heart of Copenhagen with lakeview,2482360,Mads,,Indre By,55.69054,12.57163,Entire home/apt,1195,2,2,2022-07-18,0.05,1,0,1,
504029,COPENHAGEN DREAMING?,2054021,Andrew,,Indre By,55.6852,12.59524,Entire home/apt,1300,5,16,2022-07-24,0.14,1,31,1,
504051,Heart of Copenhagen - yet quiet,2458414,Mikkel,,Indre By,55.67637,12.5869,Entire home/apt,1179,1,31,2016-10-09,0.25,1,0,0,
507911,"Large, sunny with awesome lakeview",119548,Ove,,Indre By,55.69291,12.57089,Entire home/apt,1186,6,61,2022-08-20,0.49,1,109,5,
513116,"Cool + kid-friendly, big & sunny",2527577,Fridda,,Amager Vest,55.66505,12.58187,Entire home/apt,1200,5,36,2022-09-10,0.33,1,0,8,
514666,Luxurious appartment in Copenhagen,2535149,Niels,,sterbro,55.70274,12.58152,Entire home/apt,1312,2,117,2022-08-28,0.95,1,274,12,
516039,Cozy app. with access to garden,2541479,Betina,,Frederiksberg,55.69516,12.52948,Entire home/apt,599,2,23,2021-10-17,0.19,1,256,1,
517272,"Perfect family apartment, Østerbro",2546236,Pia & Jakob,,sterbro,55.70253,12.5789,Entire home/apt,1300,5,37,2022-08-08,0.33,1,99,7,
518453,Villa apartment with privat garden.,2552063,Trine Og Allan,,Amager st,55.65797,12.60814,Entire home/apt,825,5,3,2020-07-23,0.08,1,2,0,
519333,Bright and cozy apartment,2555736,Lena Weber,,Indre By,55.66952,12.58035,Entire home/apt,1050,2,25,2022-09-20,0.21,1,10,1,
521617,Soak up the Scandi Style at a Pastel-Hued Østerbro Pad,2484983,Signe,,sterbro,55.70868,12.57317,Entire home/apt,1350,4,117,2022-07-30,0.94,1,0,7,
521856,Nice room in central Copenhagen,2566577,Cecilia,,Vesterbro-Kongens Enghave,55.66791,12.55117,Private room,422,3,268,2022-09-23,2.17,1,307,28,
523775,Bright and spacious apartment with balcony,2575202,Lalou,,Nrrebro,55.69253,12.55971,Entire home/apt,700,4,18,2019-09-10,0.14,1,0,0,
524476,"Charming, artistic and cosy apartment!",2578994,Anette,,Vesterbro-Kongens Enghave,55.66701,12.54965,Entire home/apt,679,4,32,2020-08-08,0.26,1,0,0,
527702,Nordic Loft Christianshavn,1203690,Jacob,,Indre By,55.67209,12.5894,Entire home/apt,1785,2,154,2022-09-05,1.49,1,249,20,
528914,"Unique house in ""Kartoffelrækkerne""",2598525,Rasmus,,Indre By,55.69145,12.57405,Entire home/apt,1600,5,11,2021-08-29,0.09,1,0,0,
529881,Nordic city atmosphere in green oasis,2603130,Sara,,sterbro,55.70195,12.57677,Entire home/apt,980,5,15,2022-07-31,0.12,1,81,5,
532209,Cosy 2 room apt. with roof terrace,1281066,Anne-Marie,,sterbro,55.70809,12.58299,Entire home/apt,818,5,23,2022-09-01,0.19,1,0,4,
533060,Extraordinary Apartment,2619529,Henrik,,Frederiksberg,55.67552,12.53727,Entire home/apt,2450,3,26,2022-07-14,0.26,1,339,9,
534176,Charming apt. in Christianshavn,2625716,Emilie,,Indre By,55.67204,12.58986,Entire home/apt,1500,4,14,2016-04-10,0.11,1,173,0,
535179,Large apartment on central Amager,2629560,Doris,,Amager Vest,55.65807,12.60758,Entire home/apt,900,1,39,2022-09-19,0.32,1,118,14,
539879,Huge house - beach and Copenhagen,2652733,Liselotte,,sterbro,55.73247,12.56629,Entire home/apt,3000,6,55,2022-08-01,0.45,1,51,3,
543075,Spacious & Central Copenhagen Home,723959,Anne,,Vesterbro-Kongens Enghave,55.67159,12.55736,Entire home/apt,1004,5,13,2017-09-24,0.11,1,0,0,
547317,"Luxury  apartment, Islands Brygge",2690982,Casa,,Amager Vest,55.66709,12.58084,Entire home/apt,4752,2,7,2022-05-03,0.06,1,324,1,
554546,"Nordic, Green Penthouse with Balcony",2725780,Micki And Amanda,,sterbro,55.7095,12.5825,Entire home/apt,1286,7,105,2021-12-31,0.85,1,87,2,
555145,Calm and charming city home,2728351,Maria,,sterbro,55.71073,12.58207,Entire home/apt,950,5,6,2022-08-20,0.06,1,235,3,
559944,At the heart of charming Vesterbro and Copenhagen,2752671,Michael,,Vesterbro-Kongens Enghave,55.66634,12.55771,Private room,464,3,92,2022-09-04,0.90,3,279,26,
560719,Fantastic flat with a balcony,2757155,Hanne,,Frederiksberg,55.68449,12.5395,Entire home/apt,1350,4,138,2022-09-18,1.13,1,248,14,
569641,Amazing view - Julien De Smedt duplex penthouse,2713760,Svend,,Amager Vest,55.63514,12.58297,Entire home/apt,1286,1,15,2022-09-13,0.20,1,135,13,
569909,Uniquely Decorated Copenhagen Apartment,2804772,Rune,,sterbro,55.69326,12.5681,Entire home/apt,693,4,58,2022-06-10,0.47,1,2,5,
572066,"Lovely apt w balcony, cool Nørrebro",2031110,Sidse Helene,,Nrrebro,55.69753,12.55029,Entire home/apt,375,3,41,2022-08-15,0.33,1,0,4,
575705,Big bright apartment in Vesterbro,2837337,Patrick,,Vesterbro-Kongens Enghave,55.66863,12.54604,Entire home/apt,1250,2,19,2022-08-27,0.17,2,0,3,
576523,Tour de France - Timetravel - Window View,2674708,Jakob,,Nrrebro,55.69286,12.56578,Entire home/apt,1100,3,26,2022-06-28,0.22,1,0,4,
586421,Copenhagen City Duplex,443681,Lasse,,Indre By,55.69067,12.57576,Entire home/apt,1376,5,77,2022-08-18,0.63,1,4,7,
598042,Sunny flat with 2 balconies,2242384,Mads,,Vesterbro-Kongens Enghave,55.66327,12.54898,Entire home/apt,1041,6,13,2019-08-29,0.17,1,81,0,
598936,Charming old boutique apartment,2963274,Pia,,Indre By,55.67007,12.59399,Entire home/apt,1339,2,32,2022-08-29,0.31,1,270,5,
600676,Summer in Copenhagen - FREE parking,2971660,Natasha Ann,,Nrrebro,55.695,12.54616,Entire home/apt,750,1,0,,,1,0,0,
617493,Spacious place - heart of the city,3060423,Maria,,Indre By,55.6827,12.57309,Entire home/apt,1899,2,70,2019-10-27,0.58,1,40,0,
620427,Charming Poetic Christianshavn,3074192,Jens Peder,,Indre By,55.675,12.5905,Entire home/apt,350,80,9,2020-03-27,0.07,1,89,0,
623404,Cosy light room in Frederiksberg,3091059,Irismar,,Frederiksberg,55.67918,12.50768,Private room,457,3,116,2022-08-30,1.06,1,298,1,
623736,"Penthouse apt. at beautiful, central Vesterbro",3093577,Kristian,,Vesterbro-Kongens Enghave,55.66643,12.55064,Entire home/apt,1350,3,48,2022-08-04,0.39,1,267,8,
628888,Vesterbro close to central station.,3124049,Tanja,,Vesterbro-Kongens Enghave,55.66337250110408,12.543987001747075,Private room,354,1,19,2022-09-16,0.16,3,48,13,
629306,Cosy place with great location!,3126042,Sarah,,Indre By,55.69639,12.58434,Entire home/apt,1093,2,109,2022-08-22,0.98,1,0,2,
630915,Close to Central St - quiet room,3124049,Tanja,,Vesterbro-Kongens Enghave,55.66453,12.54927,Private room,700,1,1,2013-04-22,0.01,3,365,0,
645357,Cosy studio wiewing  Marble dome,3231818,Hanne Sigbjørn,,Indre By,55.6879,12.5892,Private room,900,2,116,2022-09-19,1.12,2,284,7,
646086,Big apartment with park view and prime location,3236955,Marie,,Indre By,55.69104026464937,12.57639634657512,Entire home/apt,2100,2,5,2022-09-08,1.74,1,40,5,
648772,COPENHAGEN APARTMENT with Unique Garden,3255333,Jonas,,Amager st,55.64982,12.61352,Entire home/apt,2000,5,5,2019-08-23,0.07,1,358,0,
649303,Enjoy the heart of Vesterbro,3258314,Signe,,Vesterbro-Kongens Enghave,55.66538,12.55429,Entire home/apt,1000,5,21,2022-07-18,0.17,1,178,3,
650769,Charming balcony with canal view,2483960,Mia,,Indre By,55.67308,12.59132,Entire home/apt,909,6,87,2019-09-03,0.72,1,44,0,
650825,Fully furnished apartment in Valby,136212,Sof,,Valby,55.66757,12.50589,Entire home/apt,719,1,148,2022-09-11,1.34,1,0,4,
653083,Family friendly central CITY house w. small garden,1496835,Erland & Eve,,Frederiksberg,55.68332,12.54934,Entire home/apt,1535,4,55,2022-08-07,0.50,1,8,2,
655146,Charming 4 room Frederiksberg flat,3297383,Inge,,Frederiksberg,55.68423,12.52943,Entire home/apt,1800,6,41,2022-07-30,0.34,1,267,2,
656319,A true Copenhagen Apartment,1517376,Lene,,Amager Vest,55.66639,12.59773,Private room,414,3,22,2019-05-13,0.18,2,80,0,
656475,Large & light flat in central Cph,896126,Rebecca,,Nrrebro,55.68834,12.55067,Entire home/apt,900,4,33,2022-08-03,0.29,1,3,4,
661968,Lovely country house in Copenhagen,3342340,Signe,,Valby,55.66619,12.52085,Entire home/apt,1150,21,6,2022-07-30,0.09,1,235,1,
663246,Central Copenhagen Top floor 105m2,3348555,Henrik,,Nrrebro,55.69747,12.55197,Entire home/apt,1339,3,105,2022-08-19,0.86,1,264,9,
666188,Child friendly & Garden & free bikes/parking,3010650,Patrick,,Vanlse,55.69608,12.49629,Entire home/apt,900,4,14,2021-10-24,0.13,1,47,1,
667842,Beautiful penthouse w. sunny terrasse in cool area,3379324,Katrine,,Vesterbro-Kongens Enghave,55.66793,12.54609,Entire home/apt,1487,3,43,2022-08-03,0.35,1,18,6,
670384,Close by waterfront & city center,31251179,Ziggy,,Amager Vest,55.66827,12.58085,Private room,411,4,134,2022-09-15,1.11,1,1,6,
670550,Charming old house in Copenhagen,925696,Jonas,,Brnshj-Husum,55.70394,12.48354,Entire home/apt,1800,3,15,2022-07-28,0.13,1,82,1,
670820,1 Bedroom Apartment 5 min to Centre,1566921,Mihaela,,Indre By,55.69001,12.57315,Entire home/apt,1115,3,8,2018-09-18,0.09,1,0,0,
677453,Flat near city lakes in central CPH,11718,Benita,,Indre By,55.68292,12.56325,Entire home/apt,1000,5,16,2022-07-15,0.15,1,0,1,
678372,Christianshavn Central Copenhagen,3343139,Tue,,Indre By,55.67112,12.59165,Entire home/apt,1600,3,44,2022-08-26,0.37,1,56,6,
682701,"130 m2 near Cph. Center, beach, private garden",3478557,Thomas,,Amager st,55.65286,12.62752,Entire home/apt,1100,6,17,2021-07-15,0.14,1,0,0,
691317,2-floors overlooking Marble Church,3231818,Hanne Sigbjørn,,Indre By,55.68789,12.59094,Entire home/apt,2000,3,12,2022-07-30,0.10,2,267,2,
694393,Spend the summer in Copenhagen at Frederiksberg,3553675,Marianne,,Frederiksberg,55.68448,12.51957,Entire home/apt,750,3,33,2021-11-29,0.31,1,31,1,
695135,Room with a nice view near Copenhagen,3557818,Tim,,Brnshj-Husum,55.71164,12.5059,Private room,450,2,19,2022-09-16,1.40,2,357,14,
695136,Large room near Copenhagen,3557818,Tim,,Brnshj-Husum,55.71088,12.50751,Private room,430,3,17,2022-09-13,1.73,2,354,17,
697046,"Free parking,garden near City",3570281,Christina,,Valby,55.66744,12.493,Entire home/apt,1050,4,21,2022-08-24,0.18,1,258,3,
700271,Large and light apartment in hip area,3592408,Jannek,,Nrrebro,55.68992,12.56523,Entire home/apt,1190,4,31,2022-09-10,0.26,1,268,5,
705361,Copenhagen C - 160 sqm - up to 8 persons,3623769,Christian,,Vesterbro-Kongens Enghave,55.66945,12.5499,Entire home/apt,1190,7,22,2022-07-31,0.20,1,0,2,
707226,City centre lakeside balcony flat,3635129,Arun,,Indre By,55.6786,12.55948,Entire home/apt,1200,60,38,2022-07-19,0.38,1,103,4,
708262,"Nice location in Vesterbro, Cph",3642026,Anton,,Vesterbro-Kongens Enghave,55.66756,12.55075,Entire home/apt,1007,7,9,2022-08-21,0.13,1,113,1,
709227,Unique Copenhagen house by the sea!,3649034,Mikael,,Amager st,55.65266,12.63972,Entire home/apt,3400,2,39,2022-08-23,0.33,1,266,9,
709859,Rooftop Apartment Central Nørrebro,3652415,Mathias,,Nrrebro,55.69019,12.56167,Entire home/apt,1150,4,25,2022-06-19,0.24,1,248,3,
711746,Charming  family apartment,3198506,Niklas,,sterbro,55.70466,12.58439,Entire home/apt,1000,6,7,2022-07-24,0.07,1,91,2,
718831,Bright and spacious family apartment in Vesterbro,3443745,Mette,,Vesterbro-Kongens Enghave,55.66607,12.55027,Entire home/apt,1100,5,18,2022-07-28,0.16,1,69,3,
